"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.GIBCO_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.TCLAB_D35Aligned.sortedByCoord.out.bam"
"PMAIP1",-0.4617583,-0.4798589,-0.6103438,0.8552194,0.426336,0.1005475,-0.03195191,-0.2319849,0.433795
"CDH20",0.9254566,-0.01566778,0.2851401,1.828146,0.3459434,0.4398695,0.144714,-2.813734,-1.139868
"RNF152",0.2879868,-0.6146666,-0.01657308,1.184618,0.2015373,0.4536435,-0.6043345,-1.367282,0.475071
"PIGN",0.01659525,-0.1736432,-0.2491345,-0.05953379,-0.1768389,0.5308454,-0.155633,0.166756,0.1005867
"RELCH",-0.1340721,-0.03679617,-0.02126891,-0.01458266,-0.1399746,0.1464294,-0.03052816,0.108196,0.1225973
"ENSG00000266900",0.02985328,0.09987414,-0.2976499,-0.502511,-0.2543476,0.3442018,0.4798101,0.3243305,-0.2235614
"ZCCHC2",0.1262109,-0.3860391,-0.4065928,0.2077241,0.1168054,0.2212404,-0.266127,0.1298149,0.2569632
"PHLPP1",0.4097275,-0.09991451,0.02628336,0.3128664,-0.0862377,-0.04273755,-0.1685472,-0.3421538,-0.009286571
"BCL2",-0.2147997,-0.6057995,-0.4871795,1.087521,-0.2554245,0.7080952,-0.6295375,-0.1994407,0.5965653
"KDSR",-0.1380786,-0.116198,0.02408162,-0.2245137,0.0917537,-0.00179435,-0.02383648,0.2805723,0.1080134
"KDSR-DT",0.002379014,-0.3403799,-0.1146059,-0.07612347,0.319244,0.4077616,0.3363569,0.1930076,-0.72764
"VPS4B",0.1372634,0.001197057,0.04500877,-0.1130312,0.04600046,0.00880575,0.03287328,-0.1788468,0.02072929
"ENSG00000267430",-0.9733849,0.1333623,-0.1193433,-0.4584659,-0.06003324,-0.0587618,0.3343793,1.314345,-0.1120971
"ENSG00000283667",-0.1170793,0.1265604,0.06932207,-0.7231479,0.5607014,-0.5042866,0.823666,-0.142803,-0.092933
"SERPINB8",0.03701557,-0.007291099,0.4450752,-0.03078021,0.8991552,0.474062,-0.1657754,-0.8115716,-0.8398897
"CDH7",0.6321563,-0.05369364,0.3118116,0.05044436,-0.1210383,0.5654395,-0.8313812,-1.268636,0.7148979
"CDH19",2.247973,1.433777,1.562744,-1.493106,0.2653661,-2.954618,1.537016,-0.5492995,-2.049853
"ENSG00000260578",-0.2777418,0.1405721,-0.001315653,0.2953403,-0.5877731,1.081381,-0.2289886,0.1557119,-0.5771859
"DSEL",0.8159979,0.1101934,0.2091042,0.5756495,-0.3907762,-0.004277061,-0.3924708,-0.6653692,-0.2580519
"TMX3",-0.1564593,-0.2282784,-0.1234337,0.1156292,-0.1950483,0.5175658,-0.200787,-0.1066182,0.3774299
"CCDC102B",0.1834183,0.2935672,-0.01482081,-0.8898803,0.3466012,0.2821877,-0.1381788,0.2995231,-0.3624177
